"Ralph and Will","#RaWi","RAWI","d","","","-","1"
"Dustin and Bianca","#DustBi","DUSTBI","b","","","-","2"
"Mika and Brent","#BreKa","BREKA","c","","","-","3"
"AZ and River","#AZVer","AZVER","f","","","-","4"
"Esnyr and Charlie","#CharEs","CHARES","e","","","-","5"
